Label.ID,Label.Name,R,G,B,Flag,Label.Name2
1,LH_Vis_1,120,17,128,0,LH_Vis_1
2,LH_Vis_2,120,17,129,0,LH_Vis_2
3,LH_Vis_3,120,17,130,0,LH_Vis_3
4,LH_Vis_4,120,17,131,0,LH_Vis_4
5,LH_Vis_5,120,17,132,0,LH_Vis_5
6,LH_Vis_6,120,17,133,0,LH_Vis_6
7,LH_Vis_7,120,17,134,0,LH_Vis_7
8,LH_Vis_8,120,18,127,0,LH_Vis_8
9,LH_Vis_9,120,18,128,0,LH_Vis_9
10,LH_Vis_10,120,18,129,0,LH_Vis_10
11,LH_Vis_11,120,18,130,0,LH_Vis_11
12,LH_Vis_12,120,18,131,0,LH_Vis_12
13,LH_Vis_13,120,18,132,0,LH_Vis_13
14,LH_Vis_14,120,18,133,0,LH_Vis_14
15,LH_Vis_15,120,18,135,0,LH_Vis_15
16,LH_Vis_16,120,18,136,0,LH_Vis_16
17,LH_Vis_17,120,18,137,0,LH_Vis_17
18,LH_Vis_18,120,18,138,0,LH_Vis_18
19,LH_Vis_19,120,18,139,0,LH_Vis_19
20,LH_Vis_20,120,18,140,0,LH_Vis_20
21,LH_Vis_21,120,18,141,0,LH_Vis_21
22,LH_Vis_22,120,19,134,0,LH_Vis_22
23,LH_Vis_23,120,19,135,0,LH_Vis_23
24,LH_Vis_24,120,19,136,0,LH_Vis_24
25,LH_Vis_25,120,19,137,0,LH_Vis_25
26,LH_Vis_26,120,19,138,0,LH_Vis_26
27,LH_Vis_27,120,19,139,0,LH_Vis_27
28,LH_Vis_28,120,19,140,0,LH_Vis_28
29,LH_Vis_29,120,19,141,0,LH_Vis_29
30,LH_Vis_30,120,20,134,0,LH_Vis_30
31,LH_Vis_31,120,20,135,0,LH_Vis_31
32,LH_SomMot_1,70,128,179,0,LH_SomMot_1
33,LH_SomMot_2,70,128,180,0,LH_SomMot_2
34,LH_SomMot_3,70,129,173,0,LH_SomMot_3
35,LH_SomMot_4,70,129,174,0,LH_SomMot_4
36,LH_SomMot_5,70,129,175,0,LH_SomMot_5
37,LH_SomMot_6,70,129,176,0,LH_SomMot_6
38,LH_SomMot_7,70,129,177,0,LH_SomMot_7
39,LH_SomMot_8,70,129,178,0,LH_SomMot_8
40,LH_SomMot_9,70,129,179,0,LH_SomMot_9
41,LH_SomMot_10,70,129,180,0,LH_SomMot_10
42,LH_SomMot_11,70,130,173,0,LH_SomMot_11
43,LH_SomMot_12,70,130,174,0,LH_SomMot_12
44,LH_SomMot_13,70,130,175,0,LH_SomMot_13
45,LH_SomMot_14,70,130,176,0,LH_SomMot_14
46,LH_SomMot_15,70,130,177,0,LH_SomMot_15
47,LH_SomMot_16,70,130,178,0,LH_SomMot_16
48,LH_SomMot_17,70,130,179,0,LH_SomMot_17
49,LH_SomMot_18,70,130,181,0,LH_SomMot_18
50,LH_SomMot_19,70,130,182,0,LH_SomMot_19
51,LH_SomMot_20,70,130,183,0,LH_SomMot_20
52,LH_SomMot_21,70,130,184,0,LH_SomMot_21
53,LH_SomMot_22,70,130,185,0,LH_SomMot_22
54,LH_SomMot_23,70,130,186,0,LH_SomMot_23
55,LH_SomMot_24,70,130,187,0,LH_SomMot_24
56,LH_SomMot_25,70,131,180,0,LH_SomMot_25
57,LH_SomMot_26,70,131,181,0,LH_SomMot_26
58,LH_SomMot_27,70,131,182,0,LH_SomMot_27
59,LH_SomMot_28,70,131,183,0,LH_SomMot_28
60,LH_SomMot_29,70,131,184,0,LH_SomMot_29
61,LH_SomMot_30,70,131,185,0,LH_SomMot_30
62,LH_SomMot_31,70,131,186,0,LH_SomMot_31
