label_number,label_full_name,perc_suprathreshold
132,17Networks_RH_DorsAttnA_ParOcc_1,15
133,17Networks_RH_DorsAttnA_SPL_1,15
134,17Networks_RH_DorsAttnA_SPL_2,5
135,17Networks_RH_DorsAttnA_SPL_3,0
136,17Networks_RH_DorsAttnA_SPL_4,10
137,17Networks_RH_DorsAttnB_PostC_1,5
138,17Networks_RH_DorsAttnB_PostC_2,0
139,17Networks_RH_DorsAttnB_PostC_3,15
140,17Networks_RH_DorsAttnB_PostC_4,5
141,17Networks_RH_DorsAttnB_FEF_1,0
142,17Networks_RH_SalVentAttnA_ParOper_1,0
143,17Networks_RH_SalVentAttnA_PrC_1,0
144,17Networks_RH_SalVentAttnA_Ins_1,15
145,17Networks_RH_SalVentAttnA_Ins_2,5
146,17Networks_RH_SalVentAttnA_FrOper_1,15
147,17Networks_RH_SalVentAttnA_FrMed_1,5
148,17Networks_RH_SalVentAttnA_ParMed_1,10
149,17Networks_RH_SalVentAttnA_ParMed_2,5
150,17Networks_RH_SalVentAttnA_FrMed_2,5
151,17Networks_RH_SalVentAttnB_IPL_1,5
152,17Networks_RH_SalVentAttnB_PFClv_1,15
153,17Networks_RH_SalVentAttnB_PFCl_1,10
154,17Networks_RH_SalVentAttnB_Ins_1,15
155,17Networks_RH_SalVentAttnB_Ins_2,5
156,17Networks_RH_SalVentAttnB_PFCmp_1,0
157,17Networks_RH_LimbicB_OFC_1,20
158,17Networks_RH_LimbicB_OFC_2,25
159,17Networks_RH_LimbicB_OFC_3,15
160,17Networks_RH_LimbicB_OFC_4,10
161,17Networks_RH_LimbicA_TempPole_1,15
162,17Networks_RH_LimbicA_TempPole_2,25
163,17Networks_RH_LimbicA_TempPole_3,10
164,17Networks_RH_LimbicA_TempPole_4,10
165,17Networks_RH_ContA_IPS_1,15
166,17Networks_RH_ContA_IPS_2,0
167,17Networks_RH_ContA_PFCd_1,10
168,17Networks_RH_ContA_PFCl_1,5
169,17Networks_RH_ContA_PFCl_2,15
170,17Networks_RH_ContA_Cingm_1,5
171,17Networks_RH_ContB_Temp_1,15
172,17Networks_RH_ContB_Temp_2,10
173,17Networks_RH_ContB_IPL_1,5
174,17Networks_RH_ContB_IPL_2,0
175,17Networks_RH_ContB_PFCld_1,0
176,17Networks_RH_ContB_PFCld_2,10
177,17Networks_RH_ContB_PFClv_1,25
178,17Networks_RH_ContB_PFClv_2,15
179,17Networks_RH_ContB_PFCmp_1,5
180,17Networks_RH_ContB_PFCld_3,15
181,17Networks_RH_ContC_pCun_1,15
182,17Networks_RH_ContC_pCun_2,25
183,17Networks_RH_ContC_Cingp_1,15
184,17Networks_RH_DefaultA_IPL_1,20
185,17Networks_RH_DefaultA_PFCd_1,15
186,17Networks_RH_DefaultA_pCunPCC_1,25
187,17Networks_RH_DefaultA_PFCm_1,15
188,17Networks_RH_DefaultA_PFCm_2,0
189,17Networks_RH_DefaultA_PFCm_3,5
190,17Networks_RH_DefaultB_Temp_1,5
191,17Networks_RH_DefaultB_AntTemp_1,35
192,17Networks_RH_DefaultB_PFCd_1,0
193,17Networks_RH_DefaultB_PFCv_1,10
194,17Networks_RH_DefaultC_IPL_1,20
195,17Networks_RH_DefaultC_Rsp_1,5
196,17Networks_RH_DefaultC_PHC_1,0
197,17Networks_RH_TempPar_1,5
198,17Networks_RH_TempPar_2,10
199,17Networks_RH_TempPar_3,25
200,17Networks_RH_TempPar_4,10
