Label.ID,Label.Name,R,G,B,Flag
1,LH_VisCent_ExStr_1,120,18,131,0
2,LH_VisCent_ExStr_2,120,18,132,0
3,LH_VisCent_ExStr_3,120,18,133,0
4,LH_VisCent_ExStr_4,120,18,134,0
5,LH_VisCent_ExStr_5,120,18,136,0
6,LH_VisCent_ExStr_6,120,18,137,0
7,LH_VisCent_Striate_1,120,18,138,0
8,LH_VisCent_ExStr_7,120,18,139,0
9,LH_VisCent_ExStr_8,120,18,140,0
10,LH_VisCent_ExStr_9,120,18,141,0
11,LH_VisCent_ExStr_10,120,18,142,0
12,LH_VisPeri_ExStrInf_1,255,1,1,0
13,LH_VisPeri_ExStrInf_2,255,1,2,0
14,LH_VisPeri_ExStrInf_3,255,1,3,0
15,LH_VisPeri_ExStrInf_4,255,1,4,0
16,LH_VisPeri_StriCal_1,255,1,5,0
17,LH_VisPeri_ExStrSup_1,255,1,6,0
18,LH_VisPeri_ExStrSup_2,255,1,7,0
19,LH_VisPeri_ExStrSup_3,255,2,0,0
20,LH_VisPeri_ExStrSup_4,255,2,1,0
21,LH_SomMotA_1,70,130,174,0
22,LH_SomMotA_2,70,130,175,0
23,LH_SomMotA_3,70,130,176,0
24,LH_SomMotA_4,70,130,177,0
25,LH_SomMotA_5,70,130,178,0
26,LH_SomMotA_6,70,130,179,0
27,LH_SomMotA_7,70,130,181,0
28,LH_SomMotA_8,70,130,182,0
29,LH_SomMotA_9,70,130,183,0
30,LH_SomMotA_10,70,130,184,0
31,LH_SomMotA_11,70,130,185,0
32,LH_SomMotA_12,70,130,186,0
33,LH_SomMotA_13,70,130,187,0
34,LH_SomMotA_14,70,131,180,0
35,LH_SomMotA_15,70,131,181,0
36,LH_SomMotB_Aud_1,43,204,160,0
37,LH_SomMotB_Aud_2,43,204,161,0
38,LH_SomMotB_S2_1,43,204,162,0
39,LH_SomMotB_S2_2,43,204,163,0
40,LH_SomMotB_S2_3,43,204,165,0
41,LH_SomMotB_Aud_3,43,204,166,0
42,LH_SomMotB_S2_4,43,204,167,0
43,LH_SomMotB_S2_5,43,204,168,0
44,LH_SomMotB_S2_6,43,204,169,0
45,LH_SomMotB_Cent_1,43,204,170,0
46,LH_SomMotB_Cent_2,43,204,171,0
47,LH_SomMotB_Cent_3,43,205,164,0
48,LH_DorsAttnA_TempOcc_1,74,155,61,0
49,LH_DorsAttnA_TempOcc_2,74,155,62,0
50,LH_DorsAttnA_TempOcc_3,74,155,63,0
51,LH_DorsAttnA_ParOcc_1,74,155,64,0
52,LH_DorsAttnA_SPL_1,74,156,61,0
53,LH_DorsAttnA_SPL_2,74,156,62,0
54,LH_DorsAttnA_SPL_3,74,156,63,0
55,LH_DorsAttnA_SPL_4,74,156,64,0
56,LH_DorsAttnB_TempOcc_1,0,118,15,0
57,LH_DorsAttnB_PostC_1,0,118,14,0
58,LH_DorsAttnB_PostC_2,0,118,16,0
59,LH_DorsAttnB_PostC_3,0,118,17,0
60,LH_DorsAttnB_PostC_4,0,118,18,0
61,LH_DorsAttnB_PostC_5,0,118,19,0
62,LH_DorsAttnB_FEF_1,0,119,15,0
63,LH_DorsAttnB_FEF_2,0,119,16,0
64,LH_SalVentAttnA_ParOper_1,196,58,251,0
65,LH_SalVentAttnA_ParOper_2,196,58,252,0
66,LH_SalVentAttnA_Ins_1,196,59,251,0
67,LH_SalVentAttnA_Ins_2,196,59,252,0
68,LH_SalVentAttnA_Ins_3,196,59,253,0
69,LH_SalVentAttnA_FrOper_1,196,59,254,0
70,LH_SalVentAttnA_ParMed_1,196,59,255,0
71,LH_SalVentAttnA_ParMed_2,193,52,250,0
72,LH_SalVentAttnA_FrMed_1,197,58,251,0
73,LH_SalVentAttnA_FrMed_2,197,58,252,0
