Label.ID,Label.Name,R,G,B,Flag
1,LH_Vis_1,120,18,131,0
2,LH_Vis_2,120,18,132,0
3,LH_Vis_3,120,18,133,0
4,LH_Vis_4,120,18,135,0
5,LH_Vis_5,120,18,136,0
6,LH_Vis_6,120,18,137,0
7,LH_Vis_7,120,18,138,0
8,LH_Vis_8,120,18,139,0
9,LH_Vis_9,120,18,140,0
10,LH_SomMot_1,70,130,179,0
11,LH_SomMot_2,70,130,181,0
12,LH_SomMot_3,70,130,182,0
13,LH_SomMot_4,70,130,183,0
14,LH_SomMot_5,70,130,184,0
15,LH_SomMot_6,70,130,185,0
16,LH_DorsAttn_Post_1,0,118,13,0
17,LH_DorsAttn_Post_2,0,118,15,0
18,LH_DorsAttn_Post_3,0,118,16,0
19,LH_DorsAttn_Post_4,0,118,17,0
20,LH_DorsAttn_Post_5,0,118,18,0
21,LH_DorsAttn_Post_6,0,118,19,0
22,LH_DorsAttn_PrCv_1,0,118,20,0
23,LH_DorsAttn_FEF_1,0,118,21,0
24,LH_SalVentAttn_ParOper_1,196,58,251,0
25,LH_SalVentAttn_FrOperIns_1,196,59,251,0
26,LH_SalVentAttn_FrOperIns_2,196,59,252,0
27,LH_SalVentAttn_PFCl_1,196,59,253,0
28,LH_SalVentAttn_Med_1,197,58,251,0
29,LH_SalVentAttn_Med_2,197,58,252,0
30,LH_SalVentAttn_Med_3,197,58,253,0
31,LH_Limbic_OFC_1,220,248,165,0
32,LH_Limbic_TempPole_1,220,248,166,0
33,LH_Limbic_TempPole_2,220,248,167,0
34,LH_Cont_Par_1,230,148,35,0
35,LH_Cont_PFCl_1,230,149,36,0
36,LH_Cont_pCun_1,231,149,35,0
37,LH_Cont_Cing_1,231,149,36,0
38,LH_Default_Temp_1,205,62,80,0
39,LH_Default_Temp_2,205,62,81,0
40,LH_Default_Par_1,205,62,82,0
41,LH_Default_Par_2,205,62,83,0
42,LH_Default_PFC_1,205,63,76,0
43,LH_Default_PFC_2,205,63,77,0
44,LH_Default_PFC_3,205,63,79,0
45,LH_Default_PFC_4,205,63,80,0
46,LH_Default_PFC_5,205,63,81,0
47,LH_Default_PFC_6,205,63,82,0
48,LH_Default_PFC_7,205,63,83,0
49,LH_Default_pCunPCC_1,205,63,84,0
50,LH_Default_pCunPCC_2,205,63,85,0
51,RH_Vis_1,124,18,133,0
52,RH_Vis_2,124,18,134,0
53,RH_Vis_3,124,18,136,0
54,RH_Vis_4,124,18,137,0
55,RH_Vis_5,124,18,138,0
56,RH_Vis_6,124,18,139,0
57,RH_Vis_7,124,18,140,0
58,RH_Vis_8,124,18,141,0
59,RH_SomMot_1,74,130,179,0
60,RH_SomMot_2,74,130,180,0
61,RH_SomMot_3,74,130,182,0
62,RH_SomMot_4,74,130,183,0
63,RH_SomMot_5,74,130,184,0
64,RH_SomMot_6,74,130,185,0
65,RH_SomMot_7,74,130,186,0
66,RH_SomMot_8,74,130,187,0
67,RH_DorsAttn_Post_1,4,119,14,0
68,RH_DorsAttn_Post_2,4,119,16,0
69,RH_DorsAttn_Post_3,4,119,17,0
70,RH_DorsAttn_Post_4,4,119,18,0
71,RH_DorsAttn_Post_5,4,119,19,0
72,RH_DorsAttn_PrCv_1,5,118,15,0
73,RH_DorsAttn_FEF_1,5,118,16,0
74,RH_SalVentAttn_TempOccPar_1,201,58,252,0
75,RH_SalVentAttn_TempOccPar_2,201,58,253,0
76,RH_SalVentAttn_FrOperIns_1,201,59,252,0
77,RH_SalVentAttn_Med_1,200,57,250,0
78,RH_SalVentAttn_Med_2,200,57,251,0
79,RH_Limbic_OFC_1,224,249,165,0
80,RH_Limbic_TempPole_1,224,249,166,0
81,RH_Cont_Par_1,234,147,35,0
82,RH_Cont_Par_2,234,147,36,0
83,RH_Cont_PFCl_1,233,148,34,0
84,RH_Cont_PFCl_2,233,148,35,0
85,RH_Cont_PFCl_3,233,148,36,0
86,RH_Cont_PFCl_4,233,148,37,0
87,RH_Cont_Cing_1,234,148,37,0
88,RH_Cont_PFCmp_1,234,148,38,0
89,RH_Cont_pCun_1,234,148,39,0
90,RH_Default_Par_1,209,62,78,0
91,RH_Default_Temp_1,209,61,79,0
92,RH_Default_Temp_2,209,61,80,0
93,RH_Default_Temp_3,209,61,81,0
94,RH_Default_PFCv_1,209,61,78,0
95,RH_Default_PFCv_2,209,61,82,0
96,RH_Default_PFCdPFCm_1,208,62,79,0
97,RH_Default_PFCdPFCm_2,208,62,80,0
98,RH_Default_PFCdPFCm_3,208,62,81,0
99,RH_Default_pCunPCC_1,208,62,78,0
100,RH_Default_pCunPCC_2,208,62,82,0
