Label.ID,Label.Name,R,G,B,Flag,Label.Name2
1,LH_VisCent_ExStr_1,120,18,134,0,LH_VisCent_ExStr_1
2,LH_VisCent_ExStr_2,120,18,136,0,LH_VisCent_ExStr_2
3,LH_VisCent_Striate_1,120,18,137,0,LH_VisCent_ExStr_3
4,LH_VisCent_ExStr_3,120,18,138,0,LH_VisCent_ExStr_4
5,LH_VisCent_ExStr_4,120,18,139,0,LH_VisCent_ExStr_5
6,LH_VisCent_ExStr_5,120,18,140,0,LH_VisCent_ExStr_6
7,LH_VisPeri_ExStrInf_1,255,1,1,0,LH_VisPeri_ExStrSup_1
8,LH_VisPeri_ExStrInf_2,255,1,2,0,LH_VisPeri_ExStrSup_2
9,LH_VisPeri_ExStrInf_3,255,1,3,0,LH_VisPeri_ExStrSup_3
10,LH_VisPeri_StriCal_1,255,1,4,0,LH_VisPeri_ExStrSup_4
11,LH_VisPeri_ExStrSup_1,255,1,5,0,LH_VisPeri_ExStrSup_5
12,LH_VisPeri_ExStrSup_2,255,1,6,0,LH_VisPeri_ExStrSup_6
13,LH_SomMotA_1,70,130,178,0,LH_SomMotA_1
14,LH_SomMotA_2,70,130,179,0,LH_SomMotA_2
15,LH_SomMotA_3,70,130,181,0,LH_SomMotA_3
16,LH_SomMotA_4,70,130,182,0,LH_SomMotA_4
17,LH_SomMotA_5,70,130,183,0,LH_SomMotA_5
18,LH_SomMotA_6,70,130,184,0,LH_SomMotA_6
19,LH_SomMotA_7,70,130,185,0,LH_SomMotA_7
20,LH_SomMotA_8,70,130,186,0,LH_SomMotA_8
21,LH_SomMotB_Aud_1,43,204,162,0,LH_SomMotB_Aud_1
22,LH_SomMotB_Aud_2,43,204,163,0,LH_SomMotB_Aud_2
23,LH_SomMotB_S2_1,43,204,165,0,LH_SomMotB_Aud_3
24,LH_SomMotB_S2_2,43,204,166,0,LH_SomMotB_Aud_4
25,LH_SomMotB_Aud_3,43,204,167,0,LH_SomMotB_Aud_5
26,LH_SomMotB_S2_3,43,204,168,0,LH_SomMotB_Aud_6
27,LH_SomMotB_Cent_1,43,204,169,0,LH_SomMotB_Aud_7
28,LH_SomMotB_Cent_2,43,204,170,0,LH_SomMotB_Aud_8
29,LH_DorsAttnA_TempOcc_1,74,155,61,0,LH_DorsAttnA_TempOcc_1
30,LH_DorsAttnA_TempOcc_2,74,155,62,0,LH_DorsAttnA_TempOcc_2
31,LH_DorsAttnA_ParOcc_1,74,155,63,0,LH_DorsAttnA_TempOcc_3
32,LH_DorsAttnA_SPL_1,74,156,61,0,LH_DorsAttnA_SPL_1
33,LH_DorsAttnA_SPL_2,74,156,62,0,LH_DorsAttnA_SPL_2
34,LH_DorsAttnA_SPL_3,74,156,63,0,LH_DorsAttnA_SPL_3
35,LH_DorsAttnB_PostC_1,0,118,16,0,LH_DorsAttnB_PostC_1
36,LH_DorsAttnB_PostC_2,0,118,17,0,LH_DorsAttnB_PostC_2
37,LH_DorsAttnB_PostC_3,0,118,18,0,LH_DorsAttnB_PostC_3
38,LH_DorsAttnB_PostC_4,0,118,19,0,LH_DorsAttnB_PostC_4
