label_number,label_full_name,mean w-score,perc_suprathreshold
98,17Networks_LH_DefaultC_PHC_1,-0.30814525484632,0
99,17Networks_LH_TempPar_1,0.673510788528939,5
100,17Networks_LH_TempPar_2,0.855403535796847,15
101,17Networks_RH_VisCent_ExStr_1,0.665627775828286,10
102,17Networks_RH_VisCent_ExStr_2,0.899423145090993,30
103,17Networks_RH_VisCent_Striate_1,0.353239808684248,15
104,17Networks_RH_VisCent_ExStr_3,0.985078876605472,30
105,17Networks_RH_VisCent_ExStr_4,0.97442814764251,30
106,17Networks_RH_VisCent_ExStr_5,0.884453346262096,25
107,17Networks_RH_VisPeri_ExStrInf_1,0.930825533821584,20
108,17Networks_RH_VisPeri_ExStrInf_2,0.575062437520675,15
109,17Networks_RH_VisPeri_StriCal_1,0.792004940196573,5
110,17Networks_RH_VisPeri_ExStrSup_1,0.664643614975871,5
111,17Networks_RH_VisPeri_ExStrSup_2,0.81769198535094,20
112,17Networks_RH_VisPeri_ExStrSup_3,0.676999444884607,10
113,17Networks_RH_SomMotA_1,0.194934298695953,5
114,17Networks_RH_SomMotA_2,0.507551194156209,15
115,17Networks_RH_SomMotA_3,0.88874593499944,25
116,17Networks_RH_SomMotA_4,0.620479502479565,25
117,17Networks_RH_SomMotA_5,-0.085117228501692,5
118,17Networks_RH_SomMotA_6,0.87223921694819,20
119,17Networks_RH_SomMotA_7,0.584915547930138,20
120,17Networks_RH_SomMotA_8,0.549906337356627,10
121,17Networks_RH_SomMotA_9,0.633162456815918,10
122,17Networks_RH_SomMotA_10,0.919095755456627,35
123,17Networks_RH_SomMotA_11,0.645530752354623,25
124,17Networks_RH_SomMotB_Aud_1,0.742860121111573,15
125,17Networks_RH_SomMotB_Aud_2,0.718591174735413,15
126,17Networks_RH_SomMotB_S2_1,0.79516550542791,10
127,17Networks_RH_SomMotB_S2_2,0.515656992721883,10
128,17Networks_RH_SomMotB_S2_3,0.662042388224293,10
129,17Networks_RH_SomMotB_S2_4,0.754906983144851,15
130,17Networks_RH_SomMotB_Cent_1,0.76601456713119,15
131,17Networks_RH_DorsAttnA_TempOcc_1,0.656041894956755,10
132,17Networks_RH_DorsAttnA_ParOcc_1,0.941195685167492,15
133,17Networks_RH_DorsAttnA_SPL_1,0.692033062774251,15
134,17Networks_RH_DorsAttnA_SPL_2,0.579583479486724,5
135,17Networks_RH_DorsAttnA_SPL_3,0.291694630387803,0
136,17Networks_RH_DorsAttnA_SPL_4,0.322661950385597,10
137,17Networks_RH_DorsAttnB_PostC_1,0.476987911294793,5
138,17Networks_RH_DorsAttnB_PostC_2,0.387013891301322,0
139,17Networks_RH_DorsAttnB_PostC_3,0.662778205410863,15
140,17Networks_RH_DorsAttnB_PostC_4,0.257498034126904,5
141,17Networks_RH_DorsAttnB_FEF_1,0.729763652206477,0
142,17Networks_RH_SalVentAttnA_ParOper_1,0.39178479928921,0
143,17Networks_RH_SalVentAttnA_PrC_1,0.368833477832057,0
144,17Networks_RH_SalVentAttnA_Ins_1,0.901154511123357,15
145,17Networks_RH_SalVentAttnA_Ins_2,0.459285283684055,5
146,17Networks_RH_SalVentAttnA_FrOper_1,0.693345771215897,15
147,17Networks_RH_SalVentAttnA_FrMed_1,0.537991612061966,5
148,17Networks_RH_SalVentAttnA_ParMed_1,0.608571549746827,10
149,17Networks_RH_SalVentAttnA_ParMed_2,0.593138269321979,5
150,17Networks_RH_SalVentAttnA_FrMed_2,0.23846682406302,5
