Label.ID,Label.Name,R,G,B,Flag,Label.Name2
1,LH_VisCent_ExStr_1,120,18,131,0,LH_VisCent_ExStr_1
2,LH_VisCent_ExStr_2,120,18,132,0,LH_VisCent_ExStr_2
3,LH_VisCent_ExStr_3,120,18,133,0,LH_VisCent_ExStr_3
4,LH_VisCent_ExStr_4,120,18,134,0,LH_VisCent_ExStr_4
5,LH_VisCent_ExStr_5,120,18,136,0,LH_VisCent_ExStr_5
6,LH_VisCent_ExStr_6,120,18,137,0,LH_VisCent_ExStr_6
7,LH_VisCent_Striate_1,120,18,138,0,LH_VisCent_ExStr_7
8,LH_VisCent_ExStr_7,120,18,139,0,LH_VisCent_ExStr_8
9,LH_VisCent_ExStr_8,120,18,140,0,LH_VisCent_ExStr_9
10,LH_VisCent_ExStr_9,120,18,141,0,LH_VisCent_ExStr_10
11,LH_VisCent_ExStr_10,120,18,142,0,LH_VisCent_ExStr_11
12,LH_VisCent_ExStr_11,120,19,135,0,LH_VisCent_ExStr_12
13,LH_VisPeri_ExStrInf_1,255,1,1,0,LH_VisPeri_ExStrSup_1
14,LH_VisPeri_ExStrInf_2,255,1,2,0,LH_VisPeri_ExStrSup_2
15,LH_VisPeri_ExStrInf_3,255,1,3,0,LH_VisPeri_ExStrSup_3
16,LH_VisPeri_ExStrInf_4,255,1,4,0,LH_VisPeri_ExStrSup_4
17,LH_VisPeri_ExStrInf_5,255,1,5,0,LH_VisPeri_ExStrSup_5
18,LH_VisPeri_StriCal_1,255,1,6,0,LH_VisPeri_ExStrSup_6
19,LH_VisPeri_StriCal_2,255,1,7,0,LH_VisPeri_ExStrSup_7
20,LH_VisPeri_ExStrSup_1,255,2,0,0,LH_VisPeri_ExStrSup_8
21,LH_VisPeri_ExStrSup_2,255,2,1,0,LH_VisPeri_ExStrSup_9
22,LH_VisPeri_ExStrSup_3,255,2,2,0,LH_VisPeri_ExStrSup_10
23,LH_VisPeri_ExStrSup_4,255,2,3,0,LH_VisPeri_ExStrSup_11
24,LH_VisPeri_ExStrSup_5,255,2,4,0,LH_VisPeri_ExStrSup_12
25,LH_SomMotA_1,70,129,180,0,LH_SomMotA_1
26,LH_SomMotA_2,70,130,173,0,LH_SomMotA_2
27,LH_SomMotA_3,70,130,174,0,LH_SomMotA_3
28,LH_SomMotA_4,70,130,175,0,LH_SomMotA_4
29,LH_SomMotA_5,70,130,176,0,LH_SomMotA_5
30,LH_SomMotA_6,70,130,177,0,LH_SomMotA_6
31,LH_SomMotA_7,70,130,178,0,LH_SomMotA_7
32,LH_SomMotA_8,70,130,179,0,LH_SomMotA_8
33,LH_SomMotA_9,70,130,181,0,LH_SomMotA_9
34,LH_SomMotA_10,70,130,182,0,LH_SomMotA_10
35,LH_SomMotA_11,70,130,183,0,LH_SomMotA_11
36,LH_SomMotA_12,70,130,184,0,LH_SomMotA_12
37,LH_SomMotA_13,70,130,185,0,LH_SomMotA_13
38,LH_SomMotA_14,70,130,186,0,LH_SomMotA_14
39,LH_SomMotA_15,70,130,187,0,LH_SomMotA_15
40,LH_SomMotA_16,70,131,180,0,LH_SomMotA_16
41,LH_SomMotA_17,70,131,181,0,LH_SomMotA_17
42,LH_SomMotA_18,70,131,182,0,LH_SomMotA_18
43,LH_SomMotA_19,70,131,183,0,LH_SomMotA_19
44,LH_SomMotB_Aud_1,43,204,158,0,LH_SomMotB_Aud_1
45,LH_SomMotB_Aud_2,43,204,159,0,LH_SomMotB_Aud_2
46,LH_SomMotB_Ins_1,43,204,160,0,LH_SomMotB_Aud_3
47,LH_SomMotB_S2_1,43,204,161,0,LH_SomMotB_Aud_4
48,LH_SomMotB_S2_2,43,204,162,0,LH_SomMotB_Aud_5
49,LH_SomMotB_Aud_3,43,204,163,0,LH_SomMotB_Aud_6
50,LH_SomMotB_Aud_4,43,204,165,0,LH_SomMotB_Aud_7
51,LH_SomMotB_S2_3,43,204,166,0,LH_SomMotB_Aud_8
52,LH_SomMotB_S2_4,43,204,167,0,LH_SomMotB_Aud_9
53,LH_SomMotB_S2_5,43,204,168,0,LH_SomMotB_Aud_10
54,LH_SomMotB_S2_6,43,204,169,0,LH_SomMotB_Aud_11
55,LH_SomMotB_Cent_1,43,204,170,0,LH_SomMotB_Aud_12
56,LH_SomMotB_Cent_2,43,204,171,0,LH_SomMotB_Aud_13
57,LH_SomMotB_Cent_3,43,205,164,0,LH_SomMotB_Aud_14
58,LH_SomMotB_Cent_4,43,205,165,0,LH_SomMotB_Aud_15
59,LH_SomMotB_Cent_5,43,205,166,0,LH_SomMotB_Aud_16
60,LH_DorsAttnA_TempOcc_1,74,155,61,0,LH_DorsAttnA_TempOcc_1
61,LH_DorsAttnA_TempOcc_2,74,155,62,0,LH_DorsAttnA_TempOcc_2
62,LH_DorsAttnA_TempOcc_3,74,155,63,0,LH_DorsAttnA_TempOcc_3
63,LH_DorsAttnA_TempOcc_4,74,155,64,0,LH_DorsAttnA_TempOcc_4
64,LH_DorsAttnA_ParOcc_1,74,155,65,0,LH_DorsAttnA_ParOcc_1
65,LH_DorsAttnA_ParOcc_2,74,156,58,0,LH_DorsAttnA_SPL_1
66,LH_DorsAttnA_SPL_1,74,156,59,0,LH_DorsAttnA_SPL_2
67,LH_DorsAttnA_SPL_2,74,156,61,0,LH_DorsAttnA_SPL_3
68,LH_DorsAttnA_SPL_3,74,156,62,0,LH_DorsAttnA_SPL_4
69,LH_DorsAttnA_SPL_4,74,156,63,0,LH_DorsAttnA_SPL_5
70,LH_DorsAttnA_SPL_5,74,156,64,0,LH_DorsAttnA_SPL_6
71,LH_DorsAttnA_SPL_6,74,156,65,0,LH_DorsAttnA_SPL_7
72,LH_DorsAttnA_SPL_7,74,156,66,0,LH_DorsAttnA_SPL_8
73,LH_DorsAttnB_PostC_1,0,118,12,0,LH_DorsAttnB_PostC_1
